challenge_id,challenge_title,description
1,Stay Under Budget 3 Days,Stay within your daily budget for 3 days.
2,5-Day Green Streak,Stay within budget for 5 days.
3,Full Week Green,Stay under budget for 7 days.
4,Spend 10% Less Than Last Week,Reduce total spending by 10% compared to last week.
5,Spend ₹500 Less Than Last Week,Reduce weekly spending by ₹500.
6,Reduce Daily Average by ₹50,Lower your daily average spend by ₹50 this week.
7,Stay 20% Below Weekly Budget,Keep spending 20% below your weekly limit.
8,No Budget Break 4 Days,Avoid crossing your daily budget for 4 days.
9,Stop at Budget Limit,Do not exceed your daily budget even once.
10,Zero Overspend Week,Complete one full week without overspending.
11,48-Hour Rule,Wait 48 hours before buying any non-essential item.
12,24-Hour Delay Rule,Wait 24 hours before purchasing non-essential items.
13,No Impulse Buy 5 Days,Avoid unplanned purchases for 5 days.
14,Think Before Pay,Pause 30 seconds before making any payment.
15,Add-to-Cart Delay,Keep items in your cart for 2 days before buying.
16,Avoid UPI One Day,Do not use UPI payments for one day.
17,Reason Before Purchase,Write a reason before buying non-essential items.
18,Cancel One Subscription,Cancel one unnecessary subscription.
19,No Late Night Shopping,Avoid shopping after 9 PM this week.
20,Freeze Weekend Spending,Avoid non-essential spending during the weekend.
21,Essentials Only Week,Buy only essential items this week.
22,No Fashion Spend Week,Avoid buying clothes this week.
23,Gadget Freeze Month,Avoid purchasing gadgets this month.
24,No Entertainment Spend Week,Avoid entertainment expenses this week.
25,Outside Food Cap ₹400,Limit outside food spending to ₹400 this week.
26,No Beverages Purchase Week,Avoid buying soft drinks or juices.
27,No Online Shopping Week,Avoid online shopping for 7 days.
28,No Beauty Add-ons Week,Avoid extra personal care spending.
29,No Luxury Spend Week,Avoid luxury or premium items this week.
30,No Offer-Based Buying,Do not buy items just because they are on discount.
31,Track Every Expense 7 Days,Record every expense without missing for 7 days.
32,Track Every Expense 14 Days,Record every expense for 14 consecutive days.
33,Daily Check-In 7 Days,Open and check your app daily for 7 days.
34,Morning Night Check 5 Days,Open the app morning and night for 5 days.
35,Review Yesterday Daily,Review your previous day's expenses every day.
36,Correct Categorization,Categorize all expenses correctly this week.
37,Find One Expense Leak,Identify one unnecessary expense this week.
38,Compare Weekly Trend,Analyze and compare your weekly spending trend.
39,Log Immediately,Log expenses immediately without delay.
40,100% Recording Accuracy,Ensure no expense entry is missed this week.
41,Save ₹300 This Week,Save a total of ₹300 during this week.
42,Save ₹50 Daily 5 Days,Save ₹50 each day for 5 days.
43,Save ₹100 Daily 3 Days,Save ₹100 each day for 3 days.
44,Transfer ₹500 to Savings,Move ₹500 into your savings account.
45,Avoid ₹200 Wasteful Spend,Avoid unnecessary spending worth ₹200.
46,Save 5% Income,Save at least 5% of your income this week.
47,Add ₹250 to Emergency Fund,Add ₹250 to your emergency savings.
48,Reduce One Category ₹300,Reduce spending in one category by ₹300.
49,Round-Up Savings Challenge,Save spare change or rounded amounts.
50,7-Day Controlled Spend,Spend under ₹150 per day for 7 days.
