State / UT,Scheme Name,Scheme Type,Benefit,How to Apply,Official Website
All India,National Scholarship Portal (Merit & Fee Schemes),Fee Reduction,Reduces or reimburses tuition fees for students,Apply via NSP portal,https://scholarships.gov.in
All India,Railway Fare Concession for Students,Travel Discount,Lower train ticket cost for student travel,Submit bonafide certificate,https://indianrailways.gov.in
All India,IRCTC Student Season Ticket,Travel Discount,Reduced cost for frequent rail travel,Apply at IRCTC counter,https://www.irctc.co.in
All India,Student Passport Fee Concession,Documentation Discount,Reduced passport application fee for students,Apply via Passport Seva,https://www.passportindia.gov.in
All India,UMANG – Student Service Access,Digital Services,Saves money by avoiding agents & extra charges,Login via UMANG app,https://www.umang.gov.in
All India,AICTE Pragati Scholarship for Girls,Fee Assistance,Reduces technical education expenses for girl students,Apply via AICTE portal,https://www.aicte-india.org
All India,AICTE Saksham Scholarship,Fee Assistance,Offsets education cost for differently-abled students,Apply via AICTE portal,https://www.aicte-india.org
All India,PM Young Achievers Scholarship (YASASVI),Fee & Hostel Support,Reduces tuition and accommodation cost,Apply via NSP,https://scholarships.gov.in
All India,UGC Fee Waiver Policy,Fee Reduction,Lower semester fees for eligible students,Apply through institution,https://www.ugc.ac.in
All India,SWAYAM Online Courses,Education Cost Saving,Avoids paid coaching and course fees,Register online,https://swayam.gov.in
All India,NPTEL Online Courses (Audit Mode),Skill Cost Saving,Free technical learning instead of paid courses,Enroll online,https://nptel.ac.in
All India,National Digital Library,Book Cost Saving,Free access to textbooks and references,Register online,https://ndl.iitkgp.ac.in
All India,Vidya Lakshmi Education Loan Portal,Loan Cost Reduction,Access low-interest education loans,Apply online,https://www.vidyalakshmi.co.in
All India,Education Loan Interest Subsidy Scheme,Interest Saving,Reduces total loan interest payable,Apply via bank,https://www.vidyalakshmi.co.in
All India,Zero Balance Student Bank Account,Banking Saving,Avoids minimum balance penalties,Open via bank,https://www.pmjdy.gov.in
All India,RuPay Student Debit Card,Banking Discount,Lower transaction and ATM charges,Apply via bank,https://www.rupay.co.in

Delhi,Student Metro Fare Concession,Travel Discount,Lower metro travel expenses,Apply via DMRC,https://www.delhimetrorail.com
Andhra Pradesh,AP Student Bus Pass,Travel Discount,Reduced bus fare for daily student travel,Apply via transport dept,https://aptransport.org
Andhra Pradesh,Jagananna Vidya Deevena,Fee Reimbursement,Government pays full college tuition fees,Apply via AP portal,https://navasakam.ap.gov.in
Andhra Pradesh,Jagananna Vasathi Deevena,Hostel Allowance,Reduces food and stay expenses for students,Apply via AP portal,https://navasakam.ap.gov.in
Tamil Nadu,Free / Concessional Bus Pass (Students),Travel Saving,Eliminates daily bus travel cost,Apply via school,https://tn.gov.in
Tamil Nadu,Free Laptop Scheme (Students),Device Cost Saving,Avoids laptop purchase expense,Through institution,https://tn.gov.in
Tamil Nadu,Amma Canteen Student Access,Food Cost Saving,Low-cost meals reduce daily food spending,Visit Amma canteens,https://www.tn.gov.in
Karnataka,Student Bus Pass (BMTC / KSRTC),Travel Discount,Lower monthly transport expense,Apply via Seva Sindhu,https://sevasindhu.karnataka.gov.in
Karnataka,Vidyasiri Scheme,Food & Hostel Support,Reduces mess and accommodation costs,Apply via SSP portal,https://ssp.postmatric.karnataka.gov.in
Karnataka,Indira Canteen Student Meals,Food Saving,Subsidized meals lower daily food cost,Visit Indira canteens,https://www.karnataka.gov.in
Kerala,Student Bus Travel Concession,Travel Discount,Reduces daily commute spending,Apply via school,https://www.kerala.gov.in
Kerala,E-Grantz,Fee & Living Cost Reduction,Offsets tuition and maintenance costs,Apply via portal,https://egrantz.kerala.gov.in
Maharashtra,Student Bus Pass Concession,Travel Discount,Lower public transport expense,Apply via school,https://msrtc.maharashtra.gov.in
Madhya Pradesh,Medhavi Vidyarthi Yojana,Fee Support,Reduces college fee burden for students,Apply via portal,https://educationportal.mp.gov.in
Madhya Pradesh,Laptop Distribution Scheme,Device Cost Reduction,Saves laptop purchase cost,Apply via portal,https://educationportal.mp.gov.in
Bihar,Student Bus Pass Scheme,Travel Discount,Lower daily travel spending,Apply via education dept,https://state.bihar.gov.in
Bihar,Student Credit Card Scheme,Low-Interest Loan,Cheaper education loan for students,Apply via portal,https://www.7nishchay-yuvaupmission.bihar.gov.in
West Bengal,Student Credit Card Scheme,Low-Interest Loan,Reduces education loan interest burden,Apply via portal,https://wb.gov.in
Rajasthan,Free Bicycle Scheme (Students),Commute Saving,Eliminates daily transport cost,Through school,https://education.rajasthan.gov.in
Odisha,Student Transport Assistance Scheme,Travel Discount,Reduces student transport expenses,Apply via state portal,https://odisha.gov.in
Punjab,Student Transport Concession,Travel Discount,Lower daily travel cost,Apply via institution,https://punjab.gov.in
Haryana,Student Bus Pass Scheme,Travel Discount,Reduces commuting expenses,Apply via institution,https://hartrans.gov.in
Himachal Pradesh,Student Bus Pass Scheme,Travel Discount,Lowers daily travel cost,Apply via HRTC,https://hrtc.hp.gov.in
Uttar Pradesh,Student Fee Reimbursement Scheme,Fee Reduction,Reduces tuition payment burden,Apply via portal,https://scholarship.up.gov.in
Uttarakhand,Student Travel Concession,Travel Saving,Reduces commute cost,Apply via school,https://uk.gov.in
Jharkhand,Guruji Student Credit Card Scheme,Low-Interest Loan,Lower interest education loan for students,Apply via portal,https://jharkhand.gov.in
Chhattisgarh,Government Student Hostel Scheme,Stay Cost Reduction,Eliminates private rental expenses,Apply via education dept,https://cgstate.gov.in
All India,Government Student Hostels,Accommodation Saving,Avoids high private accommodation rent,Apply via education dept,State Government Portals
